# MUSPINSIM v.1.0.3
# Output file written on Tue Feb  1 12:15:33 2022
# Parameters used:
# 
0.000000000000000000e+00 5.000000000000000000e-01
1.010101010101010083e-01 4.899616702565322002e-01
2.020202020202020166e-01 4.801248766411415625e-01
3.030303030303030387e-01 4.704855729816103671e-01
4.040404040404040331e-01 4.610397943393427789e-01
5.050505050505050830e-01 4.517836553784649323e-01
6.060606060606060774e-01 4.427133487676684354e-01
7.070707070707070718e-01 4.338251436141389306e-01
8.080808080808080662e-01 4.251153839289269487e-01
9.090909090909090606e-01 4.165804871231279516e-01
1.010101010101010166e+00 4.082169425342551117e-01
1.111111111111111160e+00 4.000213099821969265e-01
1.212121212121212155e+00 3.919902183541664198e-01
1.313131313131313149e+00 3.841203642180602840e-01
1.414141414141414144e+00 3.764085104636565871e-01
1.515151515151515138e+00 3.688514849710931021e-01
1.616161616161616132e+00 3.614461793060779193e-01
1.717171717171717127e+00 3.541895474412958822e-01
1.818181818181818121e+00 3.470786045034851552e-01
1.919191919191919116e+00 3.401104255456678938e-01
2.020202020202020332e+00 3.332821443440306952e-01
2.121212121212121104e+00 3.265909522189598957e-01
2.222222222222222321e+00 3.200340968797457664e-01
2.323232323232323093e+00 3.136088812924821556e-01
2.424242424242424310e+00 3.073126625706941173e-01
2.525252525252525082e+00 3.011428508882387778e-01
2.626262626262626299e+00 2.950969084140305787e-01
2.727272727272727071e+00 2.891723482681546331e-01
2.828282828282828287e+00 2.833667334989373177e-01
2.929292929292929060e+00 2.776776760805539368e-01
3.030303030303030276e+00 2.721028359307610112e-01
3.131313131313131048e+00 2.666399199483496241e-01
3.232323232323232265e+00 2.612866810699228659e-01
3.333333333333333481e+00 2.560409173456104082e-01
3.434343434343434254e+00 2.509004710333400112e-01
3.535353535353535470e+00 2.458632277112918485e-01
3.636363636363636243e+00 2.409271154081733257e-01
3.737373737373737459e+00 2.360901037509537947e-01
3.838383838383838231e+00 2.313502031297105799e-01
3.939393939393939448e+00 2.267054638792419807e-01
4.040404040404040664e+00 2.221539754771106323e-01
4.141414141414140992e+00 2.176938657577876801e-01
4.242424242424242209e+00 2.133233001425738906e-01
4.343434343434343425e+00 2.090404808849820328e-01
4.444444444444444642e+00 2.048436463312689748e-01
4.545454545454544970e+00 2.007310701958138488e-01
4.646464646464646187e+00 1.967010608510443015e-01
4.747474747474747403e+00 1.927519606316188683e-01
4.848484848484848619e+00 1.888821451525786177e-01
4.949494949494949836e+00 1.850900226411883454e-01
5.050505050505050164e+00 1.813740332821920376e-01
5.151515151515151381e+00 1.777326485762132924e-01
5.252525252525252597e+00 1.741643707110374917e-01
5.353535353535353813e+00 1.706677319455155162e-01
5.454545454545454142e+00 1.672412940058378428e-01
5.555555555555555358e+00 1.638836474939281140e-01
5.656565656565656575e+00 1.605934113077155390e-01
5.757575757575757791e+00 1.573692320730451233e-01
5.858585858585858119e+00 1.542097835869940814e-01
5.959595959595959336e+00 1.511137662723639474e-01
6.060606060606060552e+00 1.480799066431253141e-01
6.161616161616161769e+00 1.451069567805940430e-01
6.262626262626262097e+00 1.421936938201246170e-01
6.363636363636363313e+00 1.393389194481083615e-01
6.464646464646464530e+00 1.365414594090711420e-01
6.565656565656565746e+00 1.338001630226659522e-01
6.666666666666666963e+00 1.311139027103634391e-01
6.767676767676767291e+00 1.284815735316442720e-01
6.868686868686868507e+00 1.259020927295037562e-01
6.969696969696969724e+00 1.233743992850808990e-01
7.070707070707070940e+00 1.208974534812291002e-01
7.171717171717171269e+00 1.184702364748488335e-01
7.272727272727272485e+00 1.160917498778065299e-01
7.373737373737373701e+00 1.137610153462673135e-01
7.474747474747474918e+00 1.114770741782722535e-01
7.575757575757575246e+00 1.092389869193952229e-01
7.676767676767676463e+00 1.070458329763166877e-01
7.777777777777777679e+00 1.048967102381558048e-01
7.878787878787878896e+00 1.027907347054045767e-01
7.979797979797979224e+00 1.007270401263122561e-01
8.080808080808081328e+00 9.870477764056934111e-02
8.181818181818181657e+00 9.672311543014595892e-02
8.282828282828281985e+00 9.478123837713936517e-02
8.383838383838384090e+00 9.287834772849143383e-02
8.484848484848484418e+00 9.101366076743731826e-02
8.585858585858586522e+00 8.918641049154998890e-02
8.686868686868686851e+00 8.739584529724908624e-02
8.787878787878787179e+00 8.564122867064333233e-02
8.888888888888889284e+00 8.392183888458000507e-02
8.989898989898989612e+00 8.223696870177683860e-02
9.090909090909089940e+00 8.058592508391348996e-02
9.191919191919192045e+00 7.896802890656404172e-02
9.292929292929292373e+00 7.738261467985246833e-02
9.393939393939394478e+00 7.582903027471631086e-02
9.494949494949494806e+00 7.430663665466630263e-02
9.595959595959595134e+00 7.281480761293111781e-02
9.696969696969697239e+00 7.135292951487956503e-02
9.797979797979797567e+00 6.992040104561400571e-02
9.898989898989899672e+00 6.851663296263123260e-02
1.000000000000000000e+01 6.714104785344915394e-02
